Q8TEW6.2	DOK4_HUMAN
Q13572.2	ITPK1_HUMAN
P46379.2	BAG6_HUMAN
Q99570.3	PI3R4_HUMAN
Q9BVC4.1	LST8_HUMAN
Q71DI3.3	H32_HUMAN
Q9UN81.1	LORF1_HUMAN
Q8WWW0.1	RASF5_HUMAN
Q7RTS3.1	PTF1A_HUMAN
Q6UX06.1	OLFM4_HUMAN
Q6P1J9.1	CDC73_HUMAN
Q6B0K9.1	HBM_HUMAN
Q5SWA1.1	PR15B_HUMAN
Q5JTW2.1	CEP78_HUMAN
Q13501.1	SQSTM_HUMAN
Q9NPF0.1	CD320_HUMAN
Q9HAT2.1	SIAE_HUMAN
Q9BUR5.1	MIC26_HUMAN
Q96GX1.1	TECT2_HUMAN
Q96AD5.1	PLPL2_HUMAN
Q8TBZ6.1	TM10A_HUMAN
Q8NEB9.1	PK3C3_HUMAN
Q8NE86.1	MCU_HUMAN
Q86XI6.1	PPR3B_HUMAN
Q86W33.1	TPRA1_HUMAN
Q9NQR9.1	G6PC2_HUMAN
Q76L83.1	ASXL2_HUMAN
Q6Y7W6.1	GGYF2_HUMAN
Q14520.1	HABP2_HUMAN
P78380.1	OLR1_HUMAN
Q13217.1	DNJC3_HUMAN
P18509.3	PACA_HUMAN
Q92783.3	STAM1_HUMAN
O14964.1	HGS_HUMAN
Q9BYG3.1	MK67I_HUMAN
Q86YT9.1	JAML_HUMAN
Q96DE0.2	NUD16_HUMAN
Q6UUV9.2	CRTC1_HUMAN
Q9HC97.4	GPR35_HUMAN
Q05513.4	KPCZ_HUMAN
O15294.3	OGT1_HUMAN
Q6ZNE5.1	BAKOR_HUMAN
O95800.1	GPR75_HUMAN
Q04206.2	TF65_HUMAN
Q13555.3	KCC2G_HUMAN
O75197.2	LRP5_HUMAN
Q9UN37.1	VPS4A_HUMAN
P16473.2	TSHR_HUMAN
Q9UKG1.1	DP13A_HUMAN
O43916.1	CHST1_HUMAN
P17861.2	XBP1_HUMAN
O75695.4	XRP2_HUMAN
P32245.2	MC4R_HUMAN
P31749.2	AKT1_HUMAN
P42765.2	THIM_HUMAN
Q9NZN4.2	EHD2_HUMAN
P68871.2	HBB_HUMAN
P52789.2	HXK2_HUMAN
Q99497.2	PARK7_HUMAN
P28907.2	CD38_HUMAN
P84243.2	H33_HUMAN
P68431.2	H31_HUMAN
Q8WWA0.1	ITLN1_HUMAN
O94972.2	TRI37_HUMAN
P63096.2	GNAI1_HUMAN
P63092.1	GNAS2_HUMAN
P63104.1	1433Z_HUMAN
P20823.2	HNF1A_HUMAN
Q6ZVN8.1	RGMC_HUMAN
P28340.2	DPOD1_HUMAN
Q9NS23.1	RASF1_HUMAN
Q8N0X7.1	SPG20_HUMAN
Q9GZU1.1	MCLN1_HUMAN
Q8N2G8.2	GHDC_HUMAN
Q9BUN8.1	DERL1_HUMAN
Q9Y4X0.1	AMMR1_HUMAN
P40763.2	STAT3_HUMAN
P61964.1	WDR5_HUMAN
P61812.1	TGFB2_HUMAN
P61978.1	HNRPK_HUMAN
Q9NP59.1	S40A1_HUMAN
P61371.1	ISL1_HUMAN
P78356.1	PI42B_HUMAN
P61266.1	STX1B_HUMAN
Q13188.2	STK3_HUMAN
P24298.3	ALAT1_HUMAN
Q8N122.1	RPTOR_HUMAN
Q13426.2	XRCC4_HUMAN
Q969X6.1	UTP4_HUMAN
Q92484.2	ASM3A_HUMAN
Q9C029.2	TRIM7_HUMAN
Q86W24.1	NAL14_HUMAN
Q96A54.1	ADR1_HUMAN
Q86V24.1	ADR2_HUMAN
O14775.2	GNB5_HUMAN
P55042.2	RAD_HUMAN
Q8IXJ6.2	SIR2_HUMAN
Q12834.2	CDC20_HUMAN
Q9UM11.2	FZR1_HUMAN
Q9UKV5.2	AMFR_HUMAN
O75603.1	GCM2_HUMAN
Q8IXH6.2	T53I2_HUMAN
Q15121.2	PEA15_HUMAN
Q92608.2	DOCK2_HUMAN
Q9NST1.2	PLPL3_HUMAN
P48380.2	RFX3_HUMAN
Q8WUM4.1	PDC6I_HUMAN
Q9H598.2	VIAAT_HUMAN
Q9NQB0.2	TF7L2_HUMAN
O14965.2	AURKA_HUMAN
Q8TE12.1	LMX1A_HUMAN
Q9BU40.1	CRDL1_HUMAN
P16410.3	CTLA4_HUMAN
Q9P104.2	DOK5_HUMAN
O75436.2	VP26A_HUMAN
Q96QK1.2	VPS35_HUMAN
Q9NZ45.1	CISD1_HUMAN
O60784.2	TOM1_HUMAN
Q9Y5C1.1	ANGL3_HUMAN
Q14721.2	KCNB1_HUMAN
Q9UGH3.1	S23A2_HUMAN
Q12933.2	TRAF2_HUMAN
P22413.2	ENPP1_HUMAN
Q93070.2	NAR4_HUMAN
P27658.2	CO8A1_HUMAN
Q9H244.1	P2Y12_HUMAN
Q9Y6I7.1	WSB1_HUMAN
P49841.2	GSK3B_HUMAN
Q9UKK9.1	NUDT5_HUMAN
Q13049.2	TRI32_HUMAN
P54646.2	AAPK2_HUMAN
Q9BW83.1	IFT27_HUMAN
P21980.2	TGM2_HUMAN
Q05084.2	ICA69_HUMAN
Q9UP52.1	TFR2_HUMAN
O15455.1	TLR3_HUMAN
Q9Y2R2.2	PTN22_HUMAN
Q9NVD7.1	PARVA_HUMAN
Q9HD89.1	RETN_HUMAN
Q9UQF2.1	JIP1_HUMAN
Q9H222.1	ABCG5_HUMAN
Q9H221.1	ABCG8_HUMAN
Q13596.3	SNX1_HUMAN
P15692.2	VEGFA_HUMAN
Q99788.2	CML1_HUMAN
P49959.3	MRE11_HUMAN
O43464.2	HTRA2_HUMAN
Q15054.2	DPOD3_HUMAN
Q13064.1	MKRN3_HUMAN
O95528.2	GTR10_HUMAN
P14384.2	CBPM_HUMAN
O00499.1	BIN1_HUMAN
Q9BZS1.1	FOXP3_HUMAN
Q9H0F7.1	ARL6_HUMAN
Q9H479.1	FN3K_HUMAN
Q03135.4	CAV1_HUMAN
Q9UBC0.1	HNF6_HUMAN
Q15596.2	NCOA2_HUMAN
P37231.3	PPARG_HUMAN
Q14457.2	BECN1_HUMAN
Q9NRS6.1	SNX15_HUMAN
Q13043.2	STK4_HUMAN
Q92851.3	CASPA_HUMAN
Q13461.2	FOXE3_HUMAN
